NOGA,ADJUSTMENT,INDICATOR_KE,date,value
41,N,PTOT,1999-01-01,63.08
41,N,PTOT,1999-04-01,91.77
41,N,PTOT,1999-07-01,96.48
41,N,PTOT,1999-10-01,93.45
41,N,PTOT,2000-01-01,69.15
41,N,PTOT,2000-04-01,91.75
41,N,PTOT,2000-07-01,95.26
41,N,PTOT,2000-10-01,91.37
41,N,PTOT,2001-01-01,69.07
41,N,PTOT,2001-04-01,88.92
41,N,PTOT,2001-07-01,94.39
41,N,PTOT,2001-10-01,90.34
41,N,PTOT,2002-01-01,73.54
41,N,PTOT,2002-04-01,92.82
41,N,PTOT,2002-07-01,97.35
41,N,PTOT,2002-10-01,94.73
41,N,PTOT,2003-01-01,68.67
41,N,PTOT,2003-04-01,92.31
41,N,PTOT,2003-07-01,99.96
41,N,PTOT,2003-10-01,93.68
41,N,PTOT,2004-01-01,72.4
41,N,PTOT,2004-04-01,99.48
41,N,PTOT,2004-07-01,107
41,N,PTOT,2004-10-01,104.06
41,N,PTOT,2005-01-01,71.5
41,N,PTOT,2005-04-01,110.24
41,N,PTOT,2005-07-01,110.93
41,N,PTOT,2005-10-01,112.62
41,N,PTOT,2006-01-01,74.45
41,N,PTOT,2006-04-01,106.4
41,N,PTOT,2006-07-01,113.37
41,N,PTOT,2006-10-01,110.74
41,N,PTOT,2007-01-01,83.85
41,N,PTOT,2007-04-01,108.54
41,N,PTOT,2007-07-01,111.48
41,N,PTOT,2007-10-01,106.79
41,N,PTOT,2008-01-01,84.02
41,N,PTOT,2008-04-01,105.88
41,N,PTOT,2008-07-01,109.35
41,N,PTOT,2008-10-01,100.9
41,N,PTOT,2009-01-01,71.01
41,N,PTOT,2009-04-01,98.88
41,N,PTOT,2009-07-01,114.94
41,N,PTOT,2009-10-01,105.25
41,N,PTOT,2010-01-01,73
41,N,PTOT,2010-04-01,101.02
41,N,PTOT,2010-07-01,103.86
41,N,PTOT,2010-10-01,106.28
41,N,PTOT,2011-01-01,83.92
41,N,PTOT,2011-04-01,106
41,N,PTOT,2011-07-01,109.18
41,N,PTOT,2011-10-01,110.49
41,N,PTOT,2012-01-01,75.23
41,N,PTOT,2012-04-01,107.43
