D0,D1,date,value
BF,AP,1970-01-01,45.91908448208025
BF,AP,1970-04-01,42.90111721672831
BF,AP,1970-07-01,52.50000475361767
BF,AP,1970-10-01,56.50232446339043
BF,AP,1971-01-01,48.10415899494342
BF,AP,1971-04-01,53.331862489942225
BF,AP,1971-07-01,59.89253832286585
BF,AP,1971-10-01,53.563727049831385
BF,AP,1972-01-01,59.36527771599509
BF,AP,1972-04-01,61.99395579453253
BF,AP,1972-07-01,63.873940006974564
BF,AP,1972-10-01,60.16185003390741
BF,AP,1973-01-01,68.44603749272632
BF,AP,1973-04-01,62.953623746303734
BF,AP,1973-07-01,64.99473155160248
BF,AP,1973-10-01,69.42159537632986
BF,AP,1974-01-01,64.96136706625138
BF,AP,1974-04-01,68.93812054511432
BF,AP,1974-07-01,66.74184237258561
BF,AP,1974-10-01,67.4624337130589
BF,AP,1975-01-01,66.32815463126057
BF,AP,1975-04-01,64.51553715968508
BF,AP,1975-07-01,67.23842806672158
BF,AP,1975-10-01,62.2048648587847
BF,AP,1976-01-01,62.0328677185608
BF,AP,1976-04-01,59.163568218885295
BF,AP,1976-07-01,59.38887227325543
BF,AP,1976-10-01,55.765310851138395
BF,AP,1977-01-01,55.44659236339109
BF,AP,1977-04-01,57.250461927939156
BF,AP,1977-07-01,57.100847127064355
BF,AP,1977-10-01,58.37281283875699
BF,AP,1978-01-01,60.597785158392256
BF,AP,1978-04-01,58.48498508038785
BF,AP,1978-07-01,60.02082862234076
BF,AP,1978-10-01,59.086558240682095
BF,AP,1979-01-01,60.91670743503651
BF,AP,1979-04-01,65.43018016338723
BF,AP,1979-07-01,60.693493204120244
BF,AP,1979-10-01,63.029063108141315
BF,AP,1980-01-01,61.697116694402
BF,AP,1980-04-01,65.69938387274209
BF,AP,1980-07-01,67.00776957158632
BF,AP,1980-10-01,69.27960130671572
BF,AP,1981-01-01,71.9932950803213
BF,AP,1981-04-01,76.62534934427673
BF,AP,1981-07-01,79.22012779645253
BF,AP,1981-10-01,76.50646841624122
BF,AP,1982-01-01,77.67649063788589
BF,AP,1982-04-01,74.88341259389486
BF,AP,1982-07-01,81.15434162112439
BF,AP,1982-10-01,77.40403539815885
BF,AP,1983-01-01,79.5276683851407
BF,AP,1983-04-01,81.80870744773775
BF,AP,1983-07-01,87.51275026965719
BF,AP,1983-10-01,89.0328940307066
BF,AP,1984-01-01,88.93714116795218
BF,AP,1984-04-01,86.87741028099363
BF,AP,1984-07-01,83.40750683514004
BF,AP,1984-10-01,80.74758228902324
BF,AP,1985-01-01,81.64935045389925
BF,AP,1985-04-01,82.29899644149502
BF,AP,1985-07-01,87.10890799331686
BF,AP,1985-10-01,89.33297653353137
BF,AP,1986-01-01,102.45093684539421
BF,AP,1986-04-01,96.14974727924826
