type,structure,seas_adj,date,value
index,ks_i11_econ_hist_q,csa,1972-10-01,-2.2673922216512254
index,ks_i11_econ_hist_q,csa,1973-01-01,-9.417252165628817
index,ks_i11_econ_hist_q,csa,1973-04-01,-7.448112578463478
index,ks_i11_econ_hist_q,csa,1973-07-01,-8.68532976703975
index,ks_i11_econ_hist_q,csa,1973-10-01,-26.961388056458095
index,ks_i11_econ_hist_q,csa,1974-01-01,-35.97477265931952
index,ks_i11_econ_hist_q,csa,1974-04-01,-62.942597787748625
index,ks_i11_econ_hist_q,csa,1974-07-01,-56.06087735764111
index,ks_i11_econ_hist_q,csa,1974-10-01,-72.53590946461398
index,ks_i11_econ_hist_q,csa,1975-01-01,-73.13884015287556
index,ks_i11_econ_hist_q,csa,1975-04-01,-104.44485741062536
index,ks_i11_econ_hist_q,csa,1975-07-01,-86.79196624339966
index,ks_i11_econ_hist_q,csa,1975-10-01,-99.6498948410196
index,ks_i11_econ_hist_q,csa,1976-01-01,-101.32671950987876
index,ks_i11_econ_hist_q,csa,1976-04-01,-53.02795417839268
index,ks_i11_econ_hist_q,csa,1976-07-01,2.820843072466422
index,ks_i11_econ_hist_q,csa,1976-10-01,-3.8407635056486953
index,ks_i11_econ_hist_q,csa,1977-01-01,-42.31249026086691
index,ks_i11_econ_hist_q,csa,1977-04-01,-4.484876848638115
index,ks_i11_econ_hist_q,csa,1977-07-01,20.60578930902556
index,ks_i11_econ_hist_q,csa,1977-10-01,21.452651351333525
index,ks_i11_econ_hist_q,csa,1978-01-01,10.676486117085844
index,ks_i11_econ_hist_q,csa,1978-04-01,9.453321704945054
index,ks_i11_econ_hist_q,csa,1978-07-01,16.890494813759954
index,ks_i11_econ_hist_q,csa,1978-10-01,-26.438870628965073
index,ks_i11_econ_hist_q,csa,1979-01-01,-10.94870425263646
index,ks_i11_econ_hist_q,csa,1979-04-01,14.40724943544545
index,ks_i11_econ_hist_q,csa,1979-07-01,-1.176187365543972
index,ks_i11_econ_hist_q,csa,1979-10-01,0.3800717226041628
index,ks_i11_econ_hist_q,csa,1980-01-01,8.495261677117584
index,ks_i11_econ_hist_q,csa,1980-04-01,17.04235870574676
index,ks_i11_econ_hist_q,csa,1980-07-01,14.233921222386677
index,ks_i11_econ_hist_q,csa,1980-10-01,-1.4272189430374544
index,ks_i11_econ_hist_q,csa,1981-01-01,-6.108893857270509
index,ks_i11_econ_hist_q,csa,1981-04-01,-26.194177700943612
index,ks_i11_econ_hist_q,csa,1981-07-01,-24.625993196287656
index,ks_i11_econ_hist_q,csa,1981-10-01,-31.72378529494675
index,ks_i11_econ_hist_q,csa,1982-01-01,-43.70594550629521
index,ks_i11_econ_hist_q,csa,1982-04-01,-44.68806277995088
index,ks_i11_econ_hist_q,csa,1982-07-01,-62.95310328768684
index,ks_i11_econ_hist_q,csa,1982-10-01,-73.06043546634636
index,ks_i11_econ_hist_q,csa,1983-01-01,-72.59877981024371
index,ks_i11_econ_hist_q,csa,1983-04-01,-49.204724201423
